,Uniform,UniformRot,Full,"I[0,0]","I[0,1]","I[0,2]","I[1,0]","I[1,1]","I[1,2]","I[2,0]","I[2,1]","I[2,2]"
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,0,1,0,0,0,0,0,0,0
2,2,2,6,0,1,1,0,0,0,0,0,0
3,3,3,14,0,1,1,0,0,1,0,0,0
4,9,58,10,0,1,0,0,0,1,0,0,0
5,4,4,30,0,1,1,0,0,1,0,0,1
6,9,58,26,0,1,0,0,0,1,0,0,1
7,5,5,62,0,1,1,0,0,1,0,1,1
8,9,58,58,0,1,0,0,0,1,0,1,1
9,6,6,126,0,1,1,0,0,1,1,1,1
10,9,58,122,0,1,0,0,0,1,1,1,1
11,7,7,254,0,1,1,1,0,1,1,1,1
12,9,58,250,0,1,0,1,0,1,1,1,1
13,8,8,255,1,1,1,1,0,1,1,1,1
14,0,0,0,0,0,0,0,0,0,0,0,0
15,1,9,4,0,0,1,0,0,0,0,0,0
16,2,10,12,0,0,1,0,0,1,0,0,0
17,3,11,28,0,0,1,0,0,1,0,0,1
18,9,58,20,0,0,1,0,0,0,0,0,1
19,4,12,60,0,0,1,0,0,1,0,1,1
20,9,58,52,0,0,1,0,0,0,0,1,1
21,5,13,124,0,0,1,0,0,1,1,1,1
22,9,58,116,0,0,1,0,0,0,1,1,1
23,6,14,252,0,0,1,1,0,1,1,1,1
24,9,58,244,0,0,1,1,0,0,1,1,1
25,7,15,253,1,0,1,1,0,1,1,1,1
26,9,58,245,1,0,1,1,0,0,1,1,1
27,8,8,255,1,1,1,1,0,1,1,1,1
28,0,0,0,0,0,0,0,0,0,0,0,0
29,1,16,8,0,0,0,0,0,1,0,0,0
30,2,17,24,0,0,0,0,0,1,0,0,1
31,3,18,56,0,0,0,0,0,1,0,1,1
32,9,58,40,0,0,0,0,0,1,0,1,0
33,4,19,120,0,0,0,0,0,1,1,1,1
34,9,58,104,0,0,0,0,0,1,1,1,0
35,5,20,248,0,0,0,1,0,1,1,1,1
36,9,58,232,0,0,0,1,0,1,1,1,0
37,6,21,249,1,0,0,1,0,1,1,1,1
38,9,58,233,1,0,0,1,0,1,1,1,0
39,7,22,251,1,1,0,1,0,1,1,1,1
40,9,58,235,1,1,0,1,0,1,1,1,0
41,8,8,255,1,1,1,1,0,1,1,1,1
42,0,0,0,0,0,0,0,0,0,0,0,0
43,1,23,16,0,0,0,0,0,0,0,0,1
44,2,24,48,0,0,0,0,0,0,0,1,1
45,3,25,112,0,0,0,0,0,0,1,1,1
46,9,58,80,0,0,0,0,0,0,1,0,1
47,4,26,240,0,0,0,1,0,0,1,1,1
48,9,58,208,0,0,0,1,0,0,1,0,1
49,5,27,241,1,0,0,1,0,0,1,1,1
50,9,58,209,1,0,0,1,0,0,1,0,1
51,6,28,243,1,1,0,1,0,0,1,1,1
